month,symbol,token_volume,transfer_count,active_addresses,newly_adopted_addresses,genius_qualifying_transfer_volume,average_transfer_size,volume_per_active_address,transfers_per_active_address
2026-03-01,USD1,10773377145.833542,13839640,113772,85856,10773377145.005447,778.4434526480059,94692.69368415377,121.64363815349998
2026-04-01,USD1,11011865690.401049,9611295,93819,36723,11011865689.561775,1145.7213299104621,117373.51379146067,102.44508042081029
2026-05-01,USD1,11411477220.361412,9431001,72350,40194,11411477219.95441,1209.9963959238696,157726.0154852994,130.35246717346234
2026-06-01,USD1,20575185055.173866,6820112,89163,54427,20575185053.772408,3016.8397606626413,230759.22810104938,76.49038278209571
2018-09-01,USDC,6323128.249536,173,74,74,6323128.249535,36549.87427476879,85447.6790477838,2.3378378378378377
2018-10-01,USDC,318625922.508417,1790,944,908,318625922.508416,178003.30866391954,337527.4602843401,1.896186440677966
2018-11-01,USDC,415728229.050272,16424,7601,7370,415728229.022474,25312.239955094617,54693.88620579818,2.1607683199579
2018-12-01,USDC,954203639.278228,31446,14901,13768,954203639.226494,30344.197647602046,64036.214970688416,2.1103281658949062
2019-01-01,USDC,3040370702.1796193,35770,16854,14782,3040370701.9889493,84997.78311403269,180394.60675089707,2.1223448439539574
2019-02-01,USDC,1205443591.275298,38464,17690,14832,1205443591.063555,31339.527637883606,68142.6563750875,2.174335782928208
2019-03-01,USDC,549449698.713434,45730,20289,16547,549449698.156495,12015.081962748633,27081.162142709545,2.2539307013652716
2019-04-01,USDC,1328633888.840148,62828,28066,23037,1328633888.662368,21147.1619128791,47339.624059009046,2.238580488847716
2019-05-01,USDC,1692911615.618176,105415,50781,42516,1692911612.589196,16059.494498782868,33337.5005537145,2.075874835076111
2019-06-01,USDC,1814892591.58,119825,53899,43742,1814892589.209501,15146.193108362204,33672.10136700124,2.2231395758733927
2019-07-01,USDC,2551729804.231648,122996,46464,36200,2551729803.183053,20746.445438738276,54918.42726049518,2.647124655647383
2019-08-01,USDC,2133313347.96942,106001,38894,28953,2133313347.070833,20125.407751538503,54849.42016684887,2.7253818069625133
2019-09-01,USDC,2224891632.777264,92231,37514,27268,2224891632.004884,24123.03490155028,59308.301774731146,2.4585754651596736
2019-10-01,USDC,2644888881.746746,114862,43678,31574,2644888880.69602,23026.665744075675,60554.25801883663,2.629744951691927
2019-11-01,USDC,2565497816.94496,120438,43127,31123,2565497815.473734,21301.398358273418,59487.04563139009,2.7926357038514156
2019-12-01,USDC,2374022912.7248807,111478,41965,30310,2374022911.302897,21295.88718225028,56571.49797986133,2.6564518050756583
